uid,source,orig_id,artist,title,genre,audio_path
fma_000010,fma,10,Kurt Vile,Freeway,"[{'genre_id': '10', 'genre_title': 'Pop', 'genre_url': 'http://freemusicarchive.org/genre/Pop/'}]",data/audio/fma_000010.mp3
fma_000181,fma,181,Ariel Pink's Haunted Graffiti,Gopacapulco,"[{'genre_id': '27', 'genre_title': 'Lo-Fi', 'genre_url': 'http://freemusicarchive.org/genre/Lo-fi/'}]",data/audio/fma_000181.mp3
fma_000182,fma,182,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,"[{'genre_id': '27', 'genre_title': 'Lo-Fi', 'genre_url': 'http://freemusicarchive.org/genre/Lo-fi/'}]",data/audio/fma_000182.mp3
fma_000695,fma,695,Food For Animals,Elephants,"[{'genre_id': '21', 'genre_title': 'Hip-Hop', 'genre_url': 'http://freemusicarchive.org/genre/Hip-Hop/'}]",data/audio/fma_000695.mp3
fma_000740,fma,740,Glass Candy,Life After Sundown,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/audio/fma_000740.mp3
fma_000751,fma,751,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/audio/fma_000751.mp3
fma_000752,fma,752,Glass Candy,The Chameleon,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/audio/fma_000752.mp3
fma_000763,fma,763,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/audio/fma_000763.mp3
fma_000765,fma,765,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/audio/fma_000765.mp3
fma_001039,fma,1039,Lightning Bolt,13 Monsters,"[{'genre_id': '53', 'genre_title': 'Noise-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Noise-Rock/'}]",data/audio/fma_001039.mp3
fma_001040,fma,1040,Lightning Bolt,Dracula Mountain,"[{'genre_id': '53', 'genre_title': 'Noise-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Noise-Rock/'}]",data/audio/fma_001040.mp3
fma_001195,fma,1195,Mount Eerie,With My Hands Out,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/audio/fma_001195.mp3
fma_001196,fma,1196,Mount Eerie,2 Blonde Braids,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/audio/fma_001196.mp3
fma_001197,fma,1197,Mount Eerie,My Burning,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/audio/fma_001197.mp3
fma_001199,fma,1199,Mount Eerie,Cold Mountain Song 286,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/audio/fma_001199.mp3
fma_001277,fma,1277,Negativland,No Business,"[{'genre_id': '22', 'genre_title': 'Audio Collage', 'genre_url': 'http://freemusicarchive.org/genre/Audio_Collage/'}]",data/audio/fma_001277.mp3
fma_003461,fma,3461,Chatham County Line,Let It Rock,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/audio/fma_003461.mp3
fma_003462,fma,3462,Chatham County Line,Chip of a Star,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/audio/fma_003462.mp3
fma_003465,fma,3465,Chatham County Line,Birmingham Jail,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/audio/fma_003465.mp3
fma_003469,fma,3469,Cheap Time,Zig Zag,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '111', 'genre_title': 'Power-Pop', 'genre_url': 'http://freemusicarchive.org/genre/Power-Pop/'}]",data/audio/fma_003469.mp3
fma_003472,fma,3472,Cheap Time,People Talk,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '111', 'genre_title': 'Power-Pop', 'genre_url': 'http://freemusicarchive.org/genre/Power-Pop/'}]",data/audio/fma_003472.mp3
fma_003515,fma,3515,Country Teasers,The Ship,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/audio/fma_003515.mp3
fma_003516,fma,3516,Country Teasers,Points of View,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/audio/fma_003516.mp3
fma_003517,fma,3517,Country Teasers,Good Looking Boys Or Women,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/audio/fma_003517.mp3
fma_003519,fma,3519,Country Teasers,Hairy Wine 2,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/audio/fma_003519.mp3
fma_003522,fma,3522,Country Teasers,It Is My Duty,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/audio/fma_003522.mp3
fma_003533,fma,3533,Cryptacize,New Spell,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/audio/fma_003533.mp3
fma_003534,fma,3534,Cryptacize,Cosmic Sing-a-long,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/audio/fma_003534.mp3
fma_003535,fma,3535,Cryptacize,No Coins,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/audio/fma_003535.mp3
fma_003557,fma,3557,Dan Deacon,My Name Is Robert,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}]",data/audio/fma_003557.mp3
fma_003579,fma,3579,Dead Moon,40 Miles of Bad Road,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/audio/fma_003579.mp3
fma_003580,fma,3580,Dead Moon,Dead Moon Night,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/audio/fma_003580.mp3
