uid,source,orig_id,artist,title,genre,lyrics_path
fma_000010,fma,10,Kurt Vile,Freeway,"[{'genre_id': '10', 'genre_title': 'Pop', 'genre_url': 'http://freemusicarchive.org/genre/Pop/'}]",data/lyrics/fma_000010.txt
fma_000181,fma,181,Ariel Pink's Haunted Graffiti,Gopacapulco,"[{'genre_id': '27', 'genre_title': 'Lo-Fi', 'genre_url': 'http://freemusicarchive.org/genre/Lo-fi/'}]",data/lyrics/fma_000181.txt
fma_000182,fma,182,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,"[{'genre_id': '27', 'genre_title': 'Lo-Fi', 'genre_url': 'http://freemusicarchive.org/genre/Lo-fi/'}]",data/lyrics/fma_000182.txt
fma_000695,fma,695,Food For Animals,Elephants,"[{'genre_id': '21', 'genre_title': 'Hip-Hop', 'genre_url': 'http://freemusicarchive.org/genre/Hip-Hop/'}]",data/lyrics/fma_000695.txt
fma_000740,fma,740,Glass Candy,Life After Sundown,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/lyrics/fma_000740.txt
fma_000751,fma,751,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/lyrics/fma_000751.txt
fma_000752,fma,752,Glass Candy,The Chameleon,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/lyrics/fma_000752.txt
fma_000763,fma,763,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/lyrics/fma_000763.txt
fma_000765,fma,765,Glass Candy,Love Love Love,"[{'genre_id': '11', 'genre_title': 'Disco', 'genre_url': 'http://freemusicarchive.org/genre/Disco/'}]",data/lyrics/fma_000765.txt
fma_001039,fma,1039,Lightning Bolt,13 Monsters,"[{'genre_id': '53', 'genre_title': 'Noise-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Noise-Rock/'}]",data/lyrics/fma_001039.txt
fma_001040,fma,1040,Lightning Bolt,Dracula Mountain,"[{'genre_id': '53', 'genre_title': 'Noise-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Noise-Rock/'}]",data/lyrics/fma_001040.txt
fma_001195,fma,1195,Mount Eerie,With My Hands Out,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_001195.txt
fma_001196,fma,1196,Mount Eerie,2 Blonde Braids,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_001196.txt
fma_001197,fma,1197,Mount Eerie,My Burning,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_001197.txt
fma_001199,fma,1199,Mount Eerie,Cold Mountain Song 286,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_001199.txt
fma_001277,fma,1277,Negativland,No Business,"[{'genre_id': '22', 'genre_title': 'Audio Collage', 'genre_url': 'http://freemusicarchive.org/genre/Audio_Collage/'}]",data/lyrics/fma_001277.txt
fma_003461,fma,3461,Chatham County Line,Let It Rock,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/lyrics/fma_003461.txt
fma_003462,fma,3462,Chatham County Line,Chip of a Star,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/lyrics/fma_003462.txt
fma_003465,fma,3465,Chatham County Line,Birmingham Jail,"[{'genre_id': '63', 'genre_title': 'Bluegrass', 'genre_url': 'http://freemusicarchive.org/genre/Bluegrass/'}]",data/lyrics/fma_003465.txt
fma_003469,fma,3469,Cheap Time,Zig Zag,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '111', 'genre_title': 'Power-Pop', 'genre_url': 'http://freemusicarchive.org/genre/Power-Pop/'}]",data/lyrics/fma_003469.txt
fma_003472,fma,3472,Cheap Time,People Talk,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '111', 'genre_title': 'Power-Pop', 'genre_url': 'http://freemusicarchive.org/genre/Power-Pop/'}]",data/lyrics/fma_003472.txt
fma_003515,fma,3515,Country Teasers,The Ship,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/lyrics/fma_003515.txt
fma_003516,fma,3516,Country Teasers,Points of View,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/lyrics/fma_003516.txt
fma_003517,fma,3517,Country Teasers,Good Looking Boys Or Women,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/lyrics/fma_003517.txt
fma_003519,fma,3519,Country Teasers,Hairy Wine 2,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/lyrics/fma_003519.txt
fma_003522,fma,3522,Country Teasers,It Is My Duty,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}]",data/lyrics/fma_003522.txt
fma_003533,fma,3533,Cryptacize,New Spell,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/lyrics/fma_003533.txt
fma_003534,fma,3534,Cryptacize,Cosmic Sing-a-long,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/lyrics/fma_003534.txt
fma_003535,fma,3535,Cryptacize,No Coins,"[{'genre_id': '76', 'genre_title': 'Experimental Pop', 'genre_url': 'http://freemusicarchive.org/genre/Experimental_Pop/'}]",data/lyrics/fma_003535.txt
fma_003557,fma,3557,Dan Deacon,My Name Is Robert,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}]",data/lyrics/fma_003557.txt
fma_003579,fma,3579,Dead Moon,40 Miles of Bad Road,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003579.txt
fma_003580,fma,3580,Dead Moon,Dead Moon Night,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003580.txt
fma_003581,fma,3581,Dead Moon,Down the Road,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003581.txt
fma_003583,fma,3583,Dead Moon,Sabotage,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003583.txt
fma_003584,fma,3584,Dead Moon,Spectacle,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003584.txt
fma_003585,fma,3585,Dead Moon,These Times With You,"[{'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003585.txt
fma_003707,fma,3707,Gary Higgins,Stable the Spuds,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_003707.txt
fma_003708,fma,3708,Gary Higgins,Thicker Than A Smokey,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_003708.txt
fma_003725,fma,3725,Indian Jewelry,West Alabama,"[{'genre_id': '53', 'genre_title': 'Noise-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Noise-Rock/'}, {'genre_id': '58', 'genre_title': 'Psych-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Psych-Rock/'}]",data/lyrics/fma_003725.txt
fma_003910,fma,3910,Michael Chapman,Kodak Ghosts,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",data/lyrics/fma_003910.txt
fma_003950,fma,3950,Miss Derringer,Click Click Bang Bang,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003950.txt
fma_003955,fma,3955,Miss Derringer,Black Tears,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003955.txt
fma_003956,fma,3956,Miss Derringer,Better Run Away From Me,"[{'genre_id': '12', 'genre_title': 'Rock', 'genre_url': 'http://freemusicarchive.org/genre/Rock/'}, {'genre_id': '85', 'genre_title': 'Garage', 'genre_url': 'http://freemusicarchive.org/genre/Garage/'}]",data/lyrics/fma_003956.txt
fma_004024,fma,4024,Negative Approach,Hypocrite,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004024.txt
fma_004025,fma,4025,Negative Approach,Dead Stop,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004025.txt
fma_004027,fma,4027,Negative Approach,Tied Down,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004027.txt
fma_004028,fma,4028,Negative Approach,Evacuate,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004028.txt
fma_004029,fma,4029,Negative Approach,Your Mistake,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004029.txt
fma_004032,fma,4032,Negative Approach,Nothing,"[{'genre_id': '109', 'genre_title': 'Hardcore', 'genre_url': 'http://freemusicarchive.org/genre/Hardcore/'}]",data/lyrics/fma_004032.txt
