uid,artist,title,audio_path,lyrics_path,genre_label
fma_000010,Kurt Vile,Freeway,data/audio/fma_000010.mp3,data/lyrics/fma_000010.txt,Pop
fma_000181,Ariel Pink's Haunted Graffiti,Gopacapulco,data/audio/fma_000181.mp3,data/lyrics/fma_000181.txt,Lo-Fi
fma_000182,Ariel Pink's Haunted Graffiti,Jules Lost His Jewels,data/audio/fma_000182.mp3,data/lyrics/fma_000182.txt,Lo-Fi
fma_000695,Food For Animals,Elephants,data/audio/fma_000695.mp3,data/lyrics/fma_000695.txt,Hip-Hop
fma_000740,Glass Candy,Life After Sundown,data/audio/fma_000740.mp3,data/lyrics/fma_000740.txt,Disco
fma_000751,Glass Candy,Love Love Love,data/audio/fma_000751.mp3,data/lyrics/fma_000751.txt,Disco
fma_000752,Glass Candy,The Chameleon,data/audio/fma_000752.mp3,data/lyrics/fma_000752.txt,Disco
fma_000763,Glass Candy,Love Love Love,data/audio/fma_000763.mp3,data/lyrics/fma_000763.txt,Disco
fma_000765,Glass Candy,Love Love Love,data/audio/fma_000765.mp3,data/lyrics/fma_000765.txt,Disco
fma_001039,Lightning Bolt,13 Monsters,data/audio/fma_001039.mp3,data/lyrics/fma_001039.txt,Noise-Rock
fma_001040,Lightning Bolt,Dracula Mountain,data/audio/fma_001040.mp3,data/lyrics/fma_001040.txt,Noise-Rock
fma_001195,Mount Eerie,With My Hands Out,data/audio/fma_001195.mp3,data/lyrics/fma_001195.txt,Folk
fma_001196,Mount Eerie,2 Blonde Braids,data/audio/fma_001196.mp3,data/lyrics/fma_001196.txt,Folk
fma_001197,Mount Eerie,My Burning,data/audio/fma_001197.mp3,data/lyrics/fma_001197.txt,Folk
fma_001199,Mount Eerie,Cold Mountain Song 286,data/audio/fma_001199.mp3,data/lyrics/fma_001199.txt,Folk
fma_001277,Negativland,No Business,data/audio/fma_001277.mp3,data/lyrics/fma_001277.txt,Audio Collage
fma_003461,Chatham County Line,Let It Rock,data/audio/fma_003461.mp3,data/lyrics/fma_003461.txt,Bluegrass
fma_003462,Chatham County Line,Chip of a Star,data/audio/fma_003462.mp3,data/lyrics/fma_003462.txt,Bluegrass
