task,repr,algo,k,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,beta,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
hard,cvae_latent,kmeans6,6,0.4567887485027313,1.0511025423967053,4615.830085920744,0.12863020901098643,0.08446147068710576,0.6931780366056572,16.0,1.0,64,256,256,20000
hard,cvae_latent,kmeans8,8,0.4156855642795563,1.1814928957021267,3835.179345267551,0.13733969713466251,0.09797512417721498,0.6931780366056572,16.0,1.0,64,256,256,20000
hard,cvae_latent,kmeans10,10,0.36178845167160034,1.2454659882549455,3330.567836912803,0.1183031906293551,0.11099837148717033,0.697171381031614,16.0,1.0,64,256,256,20000
hard,pca_concat,kmeans6,6,0.1953829973936081,1.7020171044227876,748.6915917975646,0.05929445213651615,0.21184340990881606,0.6931780366056572,,,64,256,256,20000
hard,pca_concat,kmeans8,8,0.17223471403121948,1.7952718113361148,611.7347537013075,0.016244652143344494,0.2064981072838986,0.6961730449251248,,,64,256,256,20000
hard,pca_concat,kmeans10,10,0.13418568670749664,1.9323936428393338,520.9718819051312,0.020772760449060047,0.22296512363440146,0.7341098169717138,,,64,256,256,20000
hard,ae_concat,kmeans6,6,0.08582001179456711,2.6570307742920467,280.1302480822851,0.06309626156381173,0.20781965731097377,0.6945091514143095,,,64,256,256,20000
hard,ae_concat,kmeans8,8,0.06765685230493546,2.9955817827803934,223.1022610072252,0.039778236786497806,0.20668091234024347,0.7044925124792013,,,64,256,256,20000
hard,ae_concat,kmeans10,10,0.06557410210371017,2.8976269409215147,190.2873640086317,0.05908272956035553,0.21092911925091937,0.7098169717138103,,,64,256,256,20000
hard,direct_spectral,kmeans6,6,0.22665905952453613,1.6082834990941421,854.4990336011924,0.0606065856549788,0.2110375216693062,0.6931780366056572,,,64,256,256,20000
hard,direct_spectral,kmeans8,8,0.2066514641046524,1.658235558372074,705.8697104195797,0.017412573885605347,0.20688150286565166,0.7011647254575707,,,64,256,256,20000
hard,direct_spectral,kmeans10,10,0.15693633258342743,1.7921603361489566,602.0030834712111,0.019593861111948222,0.22656726362316607,0.7367720465890183,,,64,256,256,20000
