repr,algo,k,eps,min_samples,silhouette,davies_bouldin,ari,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
audio_pca_baseline,agglo6,6.0,,,0.17268626391887665,1.7459268460840853,0.0871072094069699,,,,,,,,,64,256,256,20000
audio_pca_baseline,agglo8,8.0,,,0.13430261611938477,1.7535580031372628,0.026219771279432244,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.2,5.0,-0.09655361622571945,1.1289704520355266,0.1988591928607112,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.2,10.0,0.002710093045607209,1.1744989464905817,0.18610954984943942,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.2,20.0,-0.02156210131943226,1.170637166872058,0.13929762450376734,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.3,5.0,-0.18878509104251862,1.4924856594201752,0.19472315457709874,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.3,10.0,-0.19174116849899292,1.3847349924099746,0.22963591834741712,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.3,20.0,-0.21087728440761566,1.3008734135669162,0.29832769789263475,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.4,5.0,-0.06362501531839371,3.6108603940390442,-0.008558325731714124,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.4,10.0,0.07835984230041504,1.9128571651286566,0.05243814007484168,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.4,20.0,0.0560951791703701,1.837732264554254,0.0726228230610252,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.5,5.0,0.03175727277994156,9.599385346447104,-0.030151496951148427,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.5,10.0,-0.007044376339763403,7.707426302084293,-0.0643020491198065,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.5,20.0,-0.01229137647897005,7.012693187278324,-0.05662307766239505,,,,,,,,,64,256,256,20000
audio_pca_baseline,dbscan,,0.7,5.0,0.03371800482273102,10.158396421291902,-0.0152680744731517,,,,,,,,,64,256,256,20000
